"","Year","Geography","Rate","Cases","case","state"
"89",2009,"New York",750.5,"123,153",123153,"New York"
"90",2009,"North Carolina",302.7,"23,352",23352,"North Carolina"
"91",2009,"North Dakota",30,"163",163,"North Dakota"
"92",2009,"Ohio",170.5,"16,393",16393,"Ohio"
"93",2009,"Oklahoma",152.3,"4,592",4592,"Oklahoma"
"94",2009,"Oregon",148,"4,733",4733,"Oregon"
"95",2009,"Pennsylvania",273.8,"29,189",29189,"Pennsylvania"
"96",2009,"Rhode Island",219.6,"1,964",1964,"Rhode Island"
"97",2009,"South Carolina",364.8,"13,794",13794,"South Carolina"
"98",2009,"South Dakota",58.7,"392",392,"South Dakota"
"99",2009,"Tennessee",272.3,"14,210",14210,"Tennessee"
"100",2009,"Texas",308.6,"60,693",60693,"Texas"
"101",2009,"Utah",105.4,"2,242",2242,"Utah"
"102",2009,"Vermont",76.4,"409",409,"Vermont"
"103",2009,"Virginia",295.2,"19,319",19319,"Virginia"
"104",2009,"Washington",180.5,"9,985",9985,"Washington"
"105",2009,"West Virginia",93.2,"1,439",1439,"West Virginia"
"106",2009,"Wisconsin",103.8,"4,903",4903,"Wisconsin"
"107",2009,"Wyoming",47.3,"212",212,"Wyoming"
"108",2009,"American Samoa",4.3,"2",2,"American Samoa"
"109",2009,"Guam",66.4,"90",90,"Guam"
"110",2009,"Northern Mariana Islands",5,"2",2,"Northern Mariana Islands"
"111",2009,"Puerto Rico",529.2,"17,474",17474,"Puerto Rico"
"112",2009,"U.S. Virgin Islands",611.9,"554",554,"U.S. Virgin Islands"
"113",2010,"Alabama",271.2,"10,794",10794,"Alabama"
"114",2010,"Alaska",115.6,"668",668,"Alaska"
"115",2010,"Arizona",240.1,"12,557",12557,"Arizona"
"116",2010,"Arkansas",183.9,"4,429",4429,"Arkansas"
"117",2010,"California",349.9,"107,651",107651,"California"
"118",2010,"Colorado",241.2,"10,016",10016,"Colorado"
"119",2010,"Connecticut",343.8,"10,362",10362,"Connecticut"
"120",2010,"Delaware",414.8,"3,124",3124,"Delaware"
"121",2010,"District of Columbia",2784.7,"14,782",14782,"District of Columbia"
"122",2010,"Florida",567.1,"90,870",90870,"Florida"
"123",2010,"Georgia",507.6,"40,172",40172,"Georgia"
"124",2010,"Hawaii",225.4,"2,579",2579,"Hawaii"
"125",2010,"Idaho",71.2,"895",895,"Idaho"
"126",2010,"Illinois",294.5,"31,285",31285,"Illinois"
"127",2010,"Indiana",165.9,"8,862",8862,"Indiana"
"128",2010,"Iowa",79.6,"2,010",2010,"Iowa"
"129",2010,"Kansas",112.9,"2,630",2630,"Kansas"
"130",2010,"Kentucky",147.1,"5,313",5313,"Kentucky"
"131",2010,"Louisiana",428.8,"16,027",16027,"Louisiana"
"132",2010,"Maine",112.4,"1,279",1279,"Maine"
"133",2010,"Maryland",589.8,"28,485",28485,"Maryland"
"134",2010,"Massachusetts",307.6,"17,142",17142,"Massachusetts"
"135",2010,"Michigan",166.2,"13,707",13707,"Michigan"
"136",2010,"Minnesota",150.1,"6,588",6588,"Minnesota"
"137",2010,"Mississippi",328.2,"7,971",7971,"Mississippi"
"138",2010,"Missouri",205.6,"10,234",10234,"Missouri"
"139",2010,"Montana",50.9,"423",423,"Montana"
"140",2010,"Nebraska",119,"1,778",1778,"Nebraska"
"141",2010,"Nevada",317.8,"7,068",7068,"Nevada"
"142",2010,"New Hampshire",99,"1,109",1109,"New Hampshire"
"143",2010,"New Jersey",464.3,"34,123",34123,"New Jersey"
"144",2010,"New Mexico",173,"2,924",2924,"New Mexico"
"145",2010,"New York",752.7,"123,173",123173,"New York"
"146",2010,"North Carolina",314.8,"24,890",24890,"North Carolina"
"147",2010,"North Dakota",36.9,"209",209,"North Dakota"
"148",2010,"Ohio",178,"17,113",17113,"Ohio"
"149",2010,"Oklahoma",158.5,"4,880",4880,"Oklahoma"
"150",2010,"Oregon",177.5,"5,712",5712,"Oregon"
"151",2010,"Pennsylvania",285.4,"30,710",30710,"Pennsylvania"
"152",2010,"Rhode Island",232.4,"2,087",2087,"Rhode Island"
"153",2010,"South Carolina",366.4,"14,133",14133,"South Carolina"
"154",2010,"South Dakota",55.1,"368",368,"South Dakota"
"155",2010,"Tennessee",283.1,"14,957",14957,"Tennessee"
"156",2010,"Texas",319.2,"64,602",64602,"Texas"
"157",2010,"Utah",102.1,"2,165",2165,"Utah"
"158",2010,"Vermont",88.4,"475",475,"Vermont"
"159",2010,"Virginia",284.8,"19,066",19066,"Virginia"
"160",2010,"Washington",186.8,"10,477",10477,"Washington"
"161",2010,"West Virginia",105.5,"1,665",1665,"West Virginia"
"162",2010,"Wisconsin",105.6,"5,004",5004,"Wisconsin"
"163",2010,"Wyoming",57,"265",265,"Wyoming"
"164",2010,"American Samoa",0,"0",0,"American Samoa"
"165",2010,"Guam",57.7,"70",70,"Guam"
"166",2010,"Northern Mariana Islands",7.3,"3",3,"Northern Mariana Islands"
"167",2010,"Puerto Rico",541.3,"16,797",16797,"Puerto Rico"
"168",2010,"U.S. Virgin Islands",644.5,"569",569,"U.S. Virgin Islands"
"169",2011,"Alabama",282.5,"11,300",11300,"Alabama"
"170",2011,"Alaska",117.2,"686",686,"Alaska"
"171",2011,"Arizona",243.6,"12,917",12917,"Arizona"
"172",2011,"Arkansas",186.7,"4,528",4528,"Arkansas"
"173",2011,"California",355.6,"110,677",110677,"California"
"174",2011,"Colorado",245.2,"10,347",10347,"Colorado"
"175",2011,"Connecticut",341.7,"10,355",10355,"Connecticut"
"176",2011,"Delaware",421.5,"3,208",3208,"Delaware"
"177",2011,"District of Columbia",2731.4,"14,821",14821,"District of Columbia"
"178",2011,"Florida",572.8,"93,186",93186,"Florida"
"179",2011,"Georgia",517.5,"41,462",41462,"Georgia"
"180",2011,"Hawaii",225.8,"2,608",2608,"Hawaii"
"181",2011,"Idaho",73.2,"931",931,"Idaho"
"182",2011,"Illinois",303.4,"32,351",32351,"Illinois"
"183",2011,"Indiana",171.3,"9,203",9203,"Indiana"
"184",2011,"Iowa",82.2,"2,091",2091,"Iowa"
"185",2011,"Kansas",116.4,"2,725",2725,"Kansas"
"186",2011,"Kentucky",152.4,"5,534",5534,"Kentucky"
"187",2011,"Louisiana",447.9,"16,871",16871,"Louisiana"
"188",2011,"Maine",113.9,"1,299",1299,"Maine"
"189",2011,"Maryland",606.3,"29,603",29603,"Maryland"
"190",2011,"Massachusetts",317.6,"17,856",17856,"Massachusetts"
"191",2011,"Michigan",170.5,"14,099",14099,"Michigan"
"192",2011,"Minnesota",154.6,"6,839",6839,"Minnesota"
"193",2011,"Mississippi",342.9,"8,364",8364,"Mississippi"
"194",2011,"Missouri",212.5,"10,619",10619,"Missouri"
"195",2011,"Montana",57.7,"483",483,"Montana"
"196",2011,"Nebraska",122,"1,836",1836,"Nebraska"
"197",2011,"Nevada",325.8,"7,307",7307,"Nevada"
"198",2011,"New Hampshire",100.9,"1,135",1135,"New Hampshire"
"199",2011,"New Jersey",463.7,"34,285",34285,"New Jersey"
"200",2011,"New Mexico",176.6,"3,010",3010,"New Mexico"
"201",2011,"New York",756.7,"124,706",124706,"New York"
"202",2011,"North Carolina",322.5,"25,795",25795,"North Carolina"
"203",2011,"North Dakota",38.7,"222",222,"North Dakota"
